是否是合法影院,接入方, third_id, 影院名,影院id,bid, 加密bid, 影院url, 排期url, 排期来源,电影信息
1,dadi, '0157,山东临沂多彩城, '1726,'9039286776229028396,'db616868df3b8c149868b4da,http://www.nuomi.com/cinema/db616868df3b8c149868b4da,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=db616868df3b8c149868b4da&mid=9422&needMovieInfo=1&tploption=1&_=1428996597
http://www.nuomi.com/pcindex/main/timetable?cinemaid=db616868df3b8c149868b4da&mid=8901&needMovieInfo=1&tploption=1&_=1428996597
http://www.nuomi.com/pcindex/main/timetable?cinemaid=db616868df3b8c149868b4da&mid=9410&needMovieInfo=1&tploption=1&_=1428996597
http://www.nuomi.com/pcindex/main/timetable?cinemaid=db616868df3b8c149868b4da&mid=9427&needMovieInfo=1&tploption=1&_=1428996598
","dadi
","9422/速度与激情7/52
8901/战狼/4
9410/咱们结婚吧/1
9427/冲锋车/1
"
1,dadi, '0158,孝感中商百货, '2343,'6896961396464756371,'930ff6cd29b9a56414b54b54,http://www.nuomi.com/cinema/930ff6cd29b9a56414b54b54,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=930ff6cd29b9a56414b54b54&mid=9422&needMovieInfo=1&tploption=1&_=1428996600
","dadi
","9422/速度与激情7/38
"
1,dadi, '0159,佛山北滘, '2650,'13870111304916457276,'160062aa91748ced2efaa7bc,http://www.nuomi.com/cinema/160062aa91748ced2efaa7bc,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=160062aa91748ced2efaa7bc&mid=9422&needMovieInfo=1&tploption=1&_=1428996603
http://www.nuomi.com/pcindex/main/timetable?cinemaid=160062aa91748ced2efaa7bc&mid=9410&needMovieInfo=1&tploption=1&_=1428996604
http://www.nuomi.com/pcindex/main/timetable?cinemaid=160062aa91748ced2efaa7bc&mid=9432&needMovieInfo=1&tploption=1&_=1428996604
http://www.nuomi.com/pcindex/main/timetable?cinemaid=160062aa91748ced2efaa7bc&mid=9427&needMovieInfo=1&tploption=1&_=1428996604
http://www.nuomi.com/pcindex/main/timetable?cinemaid=160062aa91748ced2efaa7bc&mid=9426&needMovieInfo=1&tploption=1&_=1428996605
","dadi
","9422/速度与激情7/43
9410/咱们结婚吧/5
9432/魔法总动员/1
9427/冲锋车/3
9426/三更车库/2
"
1,dadi, '0160,山东德州德百新时代, '1319,'15853927586700991920,'3aec2aee2f845d4d4f3a5997,http://www.nuomi.com/cinema/3aec2aee2f845d4d4f3a5997,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=3aec2aee2f845d4d4f3a5997&mid=9422&needMovieInfo=1&tploption=1&_=1428996607
http://www.nuomi.com/pcindex/main/timetable?cinemaid=3aec2aee2f845d4d4f3a5997&mid=8901&needMovieInfo=1&tploption=1&_=1428996608
http://www.nuomi.com/pcindex/main/timetable?cinemaid=3aec2aee2f845d4d4f3a5997&mid=9427&needMovieInfo=1&tploption=1&_=1428996608
","dadi
","9422/速度与激情7/36
8901/战狼/4
9427/冲锋车/1
"
1,dadi, '0161,深圳时代城, '2030,'14180427241090071415,'4edf5e2e15e7c225c17da287,http://www.nuomi.com/cinema/4edf5e2e15e7c225c17da287,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=4edf5e2e15e7c225c17da287&mid=9422&needMovieInfo=1&tploption=1&_=1428996611
http://www.nuomi.com/pcindex/main/timetable?cinemaid=4edf5e2e15e7c225c17da287&mid=8901&needMovieInfo=1&tploption=1&_=1428996611
","dadi
","9422/速度与激情7/60
8901/战狼/2
"
1,dadi, '0163,山东兖州光明影院, '1573,'605477113342606400,'b1119feec10efe8555bfff12,http://www.nuomi.com/cinema/b1119feec10efe8555bfff12,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=b1119feec10efe8555bfff12&mid=9422&needMovieInfo=1&tploption=1&_=1428996614
http://www.nuomi.com/pcindex/main/timetable?cinemaid=b1119feec10efe8555bfff12&mid=8901&needMovieInfo=1&tploption=1&_=1428996614
","dadi
","9422/速度与激情7/34
8901/战狼/2
"
1,dadi, '0164,钦州青城, '1910,'1689434909358932759,'efcf4c11ea0b1a406140a939,http://www.nuomi.com/cinema/efcf4c11ea0b1a406140a939,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=efcf4c11ea0b1a406140a939&mid=9422&needMovieInfo=1&tploption=1&_=1428996617
http://www.nuomi.com/pcindex/main/timetable?cinemaid=efcf4c11ea0b1a406140a939&mid=8901&needMovieInfo=1&tploption=1&_=1428996618
http://www.nuomi.com/pcindex/main/timetable?cinemaid=efcf4c11ea0b1a406140a939&mid=9410&needMovieInfo=1&tploption=1&_=1428996618
http://www.nuomi.com/pcindex/main/timetable?cinemaid=efcf4c11ea0b1a406140a939&mid=8883&needMovieInfo=1&tploption=1&_=1428996618
http://www.nuomi.com/pcindex/main/timetable?cinemaid=efcf4c11ea0b1a406140a939&mid=9427&needMovieInfo=1&tploption=1&_=1428996619
","dadi
","9422/速度与激情7/36
8901/战狼/1
9410/咱们结婚吧/2
8883/我是女王/2
9427/冲锋车/6
"
1,dadi, '0165,唐山凤城国际, '2160,'296463384849410706,'47c6088aa8505f819d95de94,http://www.nuomi.com/cinema/47c6088aa8505f819d95de94,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=47c6088aa8505f819d95de94&mid=9422&needMovieInfo=1&tploption=1&_=1428996621
http://www.nuomi.com/pcindex/main/timetable?cinemaid=47c6088aa8505f819d95de94&mid=9410&needMovieInfo=1&tploption=1&_=1428996622
http://www.nuomi.com/pcindex/main/timetable?cinemaid=47c6088aa8505f819d95de94&mid=9434&needMovieInfo=1&tploption=1&_=1428996622
http://www.nuomi.com/pcindex/main/timetable?cinemaid=47c6088aa8505f819d95de94&mid=9427&needMovieInfo=1&tploption=1&_=1428996622
","dadi
","9422/速度与激情7/49
9410/咱们结婚吧/3
9434/万物生长/1
9427/冲锋车/1
"
1,dadi, '0166,宁波明海, '1876,'7769993847311763413,'645bf0a95b93ea5cadcb665e,http://www.nuomi.com/cinema/645bf0a95b93ea5cadcb665e,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=645bf0a95b93ea5cadcb665e&mid=9422&needMovieInfo=1&tploption=1&_=1428996625
http://www.nuomi.com/pcindex/main/timetable?cinemaid=645bf0a95b93ea5cadcb665e&mid=8901&needMovieInfo=1&tploption=1&_=1428996626
http://www.nuomi.com/pcindex/main/timetable?cinemaid=645bf0a95b93ea5cadcb665e&mid=9410&needMovieInfo=1&tploption=1&_=1428996626
http://www.nuomi.com/pcindex/main/timetable?cinemaid=645bf0a95b93ea5cadcb665e&mid=9414&needMovieInfo=1&tploption=1&_=1428996626
","dadi
","9422/速度与激情7/44
8901/战狼/3
9410/咱们结婚吧/1
9414/王牌特工：特工学院/2
"
1,dadi, '0167,天水亚太, '3362,'11532832119112756657,'b4114d6ce8634c1ce812e408,http://www.nuomi.com/cinema/b4114d6ce8634c1ce812e408,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=b4114d6ce8634c1ce812e408&mid=9422&needMovieInfo=1&tploption=1&_=1428996629
","dadi
","9422/速度与激情7/8
"
